epoch,teacher,baseline,standard_kd,adv_training,adv_kd,diffusion,teacher_diffaug,baseline_diffaug,adv_training_diffaug,adv_kd_diffaug
1,0.34075403578678765,0.18939081962804,56.518411378479,0.26644489147663114,60.04638527475993,0.10044465109507243,0.23093618836402893,0.24052419772331532,0.30755092661564165,1.190948132096804
2,0.08967682280689478,0.057057839699586235,10.25840483347575,0.08794358047445615,9.195564106241862,0.0543014540652434,0.09145861795223677,0.09401946518329474,0.13409674892792334,0.44469854774841894
3,0.06447358944217364,0.03982405074636142,6.427201801935832,0.064168484005332,5.753834817759196,0.05021701114177704,0.07279862084388733,0.0738388340491515,0.10402061844972464,0.3995875771962679
4,0.052012314274907115,0.03206277385552724,4.879005223083496,0.05074223103225231,4.617433632342021,0.04845701752901077,0.06136065621467737,0.06445464279009745,0.0860968989271384,0.37502864770155686
5,0.04300385429064433,0.02766613196072479,4.187659135818482,0.042426790936787924,3.861068258666992,0.047232660061120986,0.053994540580419394,0.054452106737173524,0.0759251869389644,0.36250204844107997
