epoch,teacher,baseline,standard_kd,adv_training,adv_kd,diffusion,teacher_diffaug,baseline_diffaug,adv_training_diffaug,adv_kd_diffaug
1,0.32934026556015017,0.20707979049483935,58.63164748636881,0.26798872746626534,61.590352624511716,0.09577462122042973,0.2639323454178297,0.2637397238419606,0.33707388647519626,1.2871977110642654
2,0.08811024608711401,0.05995296446184317,11.545641867574057,0.08508460367321968,9.393340785217285,0.05402519027193387,0.1111454967205341,0.1079713233590126,0.15642789045480582,0.49249940145199117
3,0.06292621193826199,0.04380654173543056,6.864078248850505,0.06143780255317688,5.8777868220011396,0.04986076039075851,0.09066951723373853,0.08954683879522177,0.12695210119394157,0.44677536823566144
4,0.049098292110363644,0.03487401392906904,4.9987667374293006,0.05205198728740215,4.711450390116374,0.04787404348452886,0.07723739379415145,0.07592027259423183,0.11055801297151126,0.4224812870942629
5,0.040012670562664665,0.027452389714618525,4.177920614242554,0.04299332588215669,4.000077060572306,0.04655558253526688,0.06754501950247929,0.06463649649207409,0.09590035095581642,0.40882433892029985
