model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.9929
baseline,fgsm,0.01,0.9905
baseline,fgsm,0.02,0.9872
baseline,fgsm,0.05,0.9725
baseline,fgsm,0.1,0.9195
baseline,fgsm,0.2,0.604
baseline,fgsm,0.6,0.0995
baseline,pgd,0.0,0.9929
baseline,pgd,0.01,0.9904
baseline,pgd,0.02,0.987
baseline,pgd,0.05,0.9699
baseline,pgd,0.1,0.8737
baseline,pgd,0.2,0.0685
baseline,pgd,0.6,0.0
standard_kd,fgsm,0.0,0.9902
standard_kd,fgsm,0.01,0.9879
standard_kd,fgsm,0.02,0.9845
standard_kd,fgsm,0.05,0.9769
standard_kd,fgsm,0.1,0.9561
standard_kd,fgsm,0.2,0.9403
standard_kd,fgsm,0.6,0.9403
standard_kd,pgd,0.0,0.9902
standard_kd,pgd,0.01,0.9878
standard_kd,pgd,0.02,0.9836
standard_kd,pgd,0.05,0.9677
standard_kd,pgd,0.1,0.9376
standard_kd,pgd,0.2,0.9224
standard_kd,pgd,0.6,0.6312
adv_training,fgsm,0.0,0.994
adv_training,fgsm,0.01,0.9928
adv_training,fgsm,0.02,0.9915
adv_training,fgsm,0.05,0.9872
adv_training,fgsm,0.1,0.9765
adv_training,fgsm,0.2,0.9154
adv_training,fgsm,0.6,0.1064
adv_training,pgd,0.0,0.994
adv_training,pgd,0.01,0.9928
adv_training,pgd,0.02,0.9915
adv_training,pgd,0.05,0.9862
adv_training,pgd,0.1,0.9687
adv_training,pgd,0.2,0.5712
adv_training,pgd,0.6,0.0
adv_kd,fgsm,0.0,0.9905
adv_kd,fgsm,0.01,0.9874
adv_kd,fgsm,0.02,0.9851
adv_kd,fgsm,0.05,0.9786
adv_kd,fgsm,0.1,0.9632
adv_kd,fgsm,0.2,0.9301
adv_kd,fgsm,0.6,0.9278
adv_kd,pgd,0.0,0.9905
adv_kd,pgd,0.01,0.9874
adv_kd,pgd,0.02,0.9848
adv_kd,pgd,0.05,0.9723
adv_kd,pgd,0.1,0.9345
adv_kd,pgd,0.2,0.8781
adv_kd,pgd,0.6,0.2543
baseline_diffaug,fgsm,0.0,0.9924
baseline_diffaug,fgsm,0.01,0.9884
baseline_diffaug,fgsm,0.02,0.9847
baseline_diffaug,fgsm,0.05,0.9675
baseline_diffaug,fgsm,0.1,0.8913
baseline_diffaug,fgsm,0.2,0.4441
baseline_diffaug,fgsm,0.6,0.0941
baseline_diffaug,pgd,0.0,0.9924
baseline_diffaug,pgd,0.01,0.9883
baseline_diffaug,pgd,0.02,0.9843
baseline_diffaug,pgd,0.05,0.9611
baseline_diffaug,pgd,0.1,0.7478
baseline_diffaug,pgd,0.2,0.0009
baseline_diffaug,pgd,0.6,0.0
adv_training_diffaug,fgsm,0.0,0.9935
adv_training_diffaug,fgsm,0.01,0.9925
adv_training_diffaug,fgsm,0.02,0.9915
adv_training_diffaug,fgsm,0.05,0.9867
adv_training_diffaug,fgsm,0.1,0.979
adv_training_diffaug,fgsm,0.2,0.9368
adv_training_diffaug,fgsm,0.6,0.0999
adv_training_diffaug,pgd,0.0,0.9935
adv_training_diffaug,pgd,0.01,0.9925
adv_training_diffaug,pgd,0.02,0.9914
adv_training_diffaug,pgd,0.05,0.9862
adv_training_diffaug,pgd,0.1,0.9735
adv_training_diffaug,pgd,0.2,0.7009
adv_training_diffaug,pgd,0.6,0.0
adv_kd_diffaug,fgsm,0.0,0.992
adv_kd_diffaug,fgsm,0.01,0.9904
adv_kd_diffaug,fgsm,0.02,0.9888
adv_kd_diffaug,fgsm,0.05,0.9809
adv_kd_diffaug,fgsm,0.1,0.9631
adv_kd_diffaug,fgsm,0.2,0.8514
adv_kd_diffaug,fgsm,0.6,0.0978
adv_kd_diffaug,pgd,0.0,0.992
adv_kd_diffaug,pgd,0.01,0.9904
adv_kd_diffaug,pgd,0.02,0.9886
adv_kd_diffaug,pgd,0.05,0.9786
adv_kd_diffaug,pgd,0.1,0.9398
adv_kd_diffaug,pgd,0.2,0.404
adv_kd_diffaug,pgd,0.6,0.0
