model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.9926
baseline,fgsm,0.01,0.9892
baseline,fgsm,0.02,0.9861
baseline,fgsm,0.05,0.9698
baseline,fgsm,0.1,0.9133
baseline,fgsm,0.2,0.5201
baseline,fgsm,0.6,0.1001
baseline,pgd,0.0,0.9926
baseline,pgd,0.01,0.9893
baseline,pgd,0.02,0.9861
baseline,pgd,0.05,0.967
baseline,pgd,0.1,0.8553
baseline,pgd,0.2,0.039
baseline,pgd,0.6,0.0
standard_kd,fgsm,0.0,0.9872
standard_kd,fgsm,0.01,0.9831
standard_kd,fgsm,0.02,0.9791
standard_kd,fgsm,0.05,0.9661
standard_kd,fgsm,0.1,0.938
standard_kd,fgsm,0.2,0.9202
standard_kd,fgsm,0.6,0.9193
standard_kd,pgd,0.0,0.9872
standard_kd,pgd,0.01,0.9829
standard_kd,pgd,0.02,0.9773
standard_kd,pgd,0.05,0.9505
standard_kd,pgd,0.1,0.9113
standard_kd,pgd,0.2,0.8873
standard_kd,pgd,0.6,0.3927
adv_training,fgsm,0.0,0.9923
adv_training,fgsm,0.01,0.9914
adv_training,fgsm,0.02,0.99
adv_training,fgsm,0.05,0.9854
adv_training,fgsm,0.1,0.9751
adv_training,fgsm,0.2,0.902
adv_training,fgsm,0.6,0.1
adv_training,pgd,0.0,0.9923
adv_training,pgd,0.01,0.9915
adv_training,pgd,0.02,0.99
adv_training,pgd,0.05,0.9843
adv_training,pgd,0.1,0.9682
adv_training,pgd,0.2,0.7379
adv_training,pgd,0.6,0.0
adv_kd,fgsm,0.0,0.9889
adv_kd,fgsm,0.01,0.9859
adv_kd,fgsm,0.02,0.9838
adv_kd,fgsm,0.05,0.975
adv_kd,fgsm,0.1,0.952
adv_kd,fgsm,0.2,0.9298
adv_kd,fgsm,0.6,0.9297
adv_kd,pgd,0.0,0.9889
adv_kd,pgd,0.01,0.9859
adv_kd,pgd,0.02,0.9828
adv_kd,pgd,0.05,0.966
adv_kd,pgd,0.1,0.9183
adv_kd,pgd,0.2,0.8249
adv_kd,pgd,0.6,0.1644
baseline_diffaug,fgsm,0.0,0.9932
baseline_diffaug,fgsm,0.01,0.9904
baseline_diffaug,fgsm,0.02,0.9865
baseline_diffaug,fgsm,0.05,0.9703
baseline_diffaug,fgsm,0.1,0.9105
baseline_diffaug,fgsm,0.2,0.5463
baseline_diffaug,fgsm,0.6,0.0894
baseline_diffaug,pgd,0.0,0.9932
baseline_diffaug,pgd,0.01,0.9903
baseline_diffaug,pgd,0.02,0.986
baseline_diffaug,pgd,0.05,0.9644
baseline_diffaug,pgd,0.1,0.8189
baseline_diffaug,pgd,0.2,0.0134
baseline_diffaug,pgd,0.6,0.0
adv_training_diffaug,fgsm,0.0,0.9936
adv_training_diffaug,fgsm,0.01,0.993
adv_training_diffaug,fgsm,0.02,0.9918
adv_training_diffaug,fgsm,0.05,0.9895
adv_training_diffaug,fgsm,0.1,0.9831
adv_training_diffaug,fgsm,0.2,0.9641
adv_training_diffaug,fgsm,0.6,0.1202
adv_training_diffaug,pgd,0.0,0.9936
adv_training_diffaug,pgd,0.01,0.9928
adv_training_diffaug,pgd,0.02,0.9913
adv_training_diffaug,pgd,0.05,0.9876
adv_training_diffaug,pgd,0.1,0.97
adv_training_diffaug,pgd,0.2,0.5552
adv_training_diffaug,pgd,0.6,0.0
adv_kd_diffaug,fgsm,0.0,0.9931
adv_kd_diffaug,fgsm,0.01,0.992
adv_kd_diffaug,fgsm,0.02,0.9894
adv_kd_diffaug,fgsm,0.05,0.9829
adv_kd_diffaug,fgsm,0.1,0.9638
adv_kd_diffaug,fgsm,0.2,0.8688
adv_kd_diffaug,fgsm,0.6,0.0987
adv_kd_diffaug,pgd,0.0,0.9931
adv_kd_diffaug,pgd,0.01,0.992
adv_kd_diffaug,pgd,0.02,0.9893
adv_kd_diffaug,pgd,0.05,0.9802
adv_kd_diffaug,pgd,0.1,0.9469
adv_kd_diffaug,pgd,0.2,0.532
adv_kd_diffaug,pgd,0.6,0.0
