epoch,teacher,baseline,standard_kd,adv_training,adv_kd,diffusion,teacher_diffaug,baseline_diffaug,adv_training_diffaug,adv_kd_diffaug
1,0.3160392413854599,0.19924109911173582,63.47868901163737,0.2679449636101723,58.981721868896486,0.10487114660143852,0.28521040851703056,0.2815515297357853,0.3656669254266299,1.1640802724544819
2,0.08603546410600345,0.053819850488503775,12.427651204681396,0.08849909860889117,9.66443031133016,0.05435028532942136,0.12869887842031624,0.12796404616832732,0.17323671252360712,0.45280846674992487
3,0.061347747101386386,0.03984356948584318,8.016196357472738,0.0650351191719373,6.5085184898376465,0.05001054837505023,0.10605167580384474,0.10260450635139759,0.14287901741908146,0.40737765568953294
4,0.04852903585731983,0.030430873626098035,5.8900520158131915,0.05310096096495787,5.017333396911621,0.047859184247255326,0.09209252128601074,0.09034087886902002,0.12518218883734483,0.3867411825180054
5,0.03981593868136406,0.025930361755440633,5.00581569964091,0.044524134981632234,4.160774513498942,0.04721915800372759,0.08140698897838593,0.08019167924477504,0.11069847337832818,0.3745708577302786
