model,mean_clean_accuracy,std_clean_accuracy,num_runs,clean_accuracies
adv_kd,0.9897666666666667,0.000808290376865497,3,0.989900;0.990500;0.988900
adv_kd_diffaug,0.9921000000000001,0.0009539392014169512,3,0.991200;0.992000;0.993100
adv_training,0.9928333333333333,0.0010115993936995844,3,0.992200;0.994000;0.992300
adv_training_diffaug,0.9930666666666667,0.0008386497083606439,3,0.992100;0.993500;0.993600
baseline,0.9928333333333333,0.00020816659994659034,3,0.993000;0.992900;0.992600
baseline_diffaug,0.9923333333333333,0.0009018499505645904,3,0.991400;0.992400;0.993200
standard_kd,0.9885,0.0015394804318340652,3,0.988100;0.990200;0.987200
