run_index,seed,model,attack,epsilon,accuracy
2,43,adv_training,fgsm,0.2,0.9154
2,43,adv_training,fgsm,0.6,0.1064
2,43,adv_training,pgd,0.0,0.994
2,43,adv_training,pgd,0.01,0.9928
2,43,adv_training,pgd,0.02,0.9915
2,43,adv_training,pgd,0.05,0.9862
2,43,adv_training,pgd,0.1,0.9687
2,43,adv_training,pgd,0.2,0.5712
2,43,adv_training,pgd,0.6,0.0
2,43,adv_kd,fgsm,0.0,0.9905
2,43,adv_kd,fgsm,0.01,0.9874
2,43,adv_kd,fgsm,0.02,0.9851
2,43,adv_kd,fgsm,0.05,0.9786
2,43,adv_kd,fgsm,0.1,0.9632
2,43,adv_kd,fgsm,0.2,0.9301
2,43,adv_kd,fgsm,0.6,0.9278
2,43,adv_kd,pgd,0.0,0.9905
2,43,adv_kd,pgd,0.01,0.9874
2,43,adv_kd,pgd,0.02,0.9848
2,43,adv_kd,pgd,0.05,0.9723
2,43,adv_kd,pgd,0.1,0.9345
2,43,adv_kd,pgd,0.2,0.8781
2,43,adv_kd,pgd,0.6,0.2543
2,43,baseline_diffaug,fgsm,0.0,0.9924
2,43,baseline_diffaug,fgsm,0.01,0.9884
2,43,baseline_diffaug,fgsm,0.02,0.9847
2,43,baseline_diffaug,fgsm,0.05,0.9675
2,43,baseline_diffaug,fgsm,0.1,0.8913
2,43,baseline_diffaug,fgsm,0.2,0.4441
2,43,baseline_diffaug,fgsm,0.6,0.0941
2,43,baseline_diffaug,pgd,0.0,0.9924
2,43,baseline_diffaug,pgd,0.01,0.9883
2,43,baseline_diffaug,pgd,0.02,0.9843
2,43,baseline_diffaug,pgd,0.05,0.9611
2,43,baseline_diffaug,pgd,0.1,0.7478
2,43,baseline_diffaug,pgd,0.2,0.0009
2,43,baseline_diffaug,pgd,0.6,0.0
2,43,adv_training_diffaug,fgsm,0.0,0.9935
2,43,adv_training_diffaug,fgsm,0.01,0.9925
2,43,adv_training_diffaug,fgsm,0.02,0.9915
2,43,adv_training_diffaug,fgsm,0.05,0.9867
2,43,adv_training_diffaug,fgsm,0.1,0.979
2,43,adv_training_diffaug,fgsm,0.2,0.9368
2,43,adv_training_diffaug,fgsm,0.6,0.0999
2,43,adv_training_diffaug,pgd,0.0,0.9935
2,43,adv_training_diffaug,pgd,0.01,0.9925
2,43,adv_training_diffaug,pgd,0.02,0.9914
2,43,adv_training_diffaug,pgd,0.05,0.9862
2,43,adv_training_diffaug,pgd,0.1,0.9735
2,43,adv_training_diffaug,pgd,0.2,0.7009
2,43,adv_training_diffaug,pgd,0.6,0.0
2,43,adv_kd_diffaug,fgsm,0.0,0.992
2,43,adv_kd_diffaug,fgsm,0.01,0.9904
2,43,adv_kd_diffaug,fgsm,0.02,0.9888
2,43,adv_kd_diffaug,fgsm,0.05,0.9809
2,43,adv_kd_diffaug,fgsm,0.1,0.9631
2,43,adv_kd_diffaug,fgsm,0.2,0.8514
2,43,adv_kd_diffaug,fgsm,0.6,0.0978
2,43,adv_kd_diffaug,pgd,0.0,0.992
2,43,adv_kd_diffaug,pgd,0.01,0.9904
2,43,adv_kd_diffaug,pgd,0.02,0.9886
2,43,adv_kd_diffaug,pgd,0.05,0.9786
2,43,adv_kd_diffaug,pgd,0.1,0.9398
2,43,adv_kd_diffaug,pgd,0.2,0.404
2,43,adv_kd_diffaug,pgd,0.6,0.0
3,44,baseline,fgsm,0.0,0.9926
3,44,baseline,fgsm,0.01,0.9892
3,44,baseline,fgsm,0.02,0.9861
3,44,baseline,fgsm,0.05,0.9698
3,44,baseline,fgsm,0.1,0.9133
3,44,baseline,fgsm,0.2,0.5201
3,44,baseline,fgsm,0.6,0.1001
3,44,baseline,pgd,0.0,0.9926
3,44,baseline,pgd,0.01,0.9893
3,44,baseline,pgd,0.02,0.9861
3,44,baseline,pgd,0.05,0.967
3,44,baseline,pgd,0.1,0.8553
3,44,baseline,pgd,0.2,0.039
3,44,baseline,pgd,0.6,0.0
3,44,standard_kd,fgsm,0.0,0.9872
3,44,standard_kd,fgsm,0.01,0.9831
3,44,standard_kd,fgsm,0.02,0.9791
3,44,standard_kd,fgsm,0.05,0.9661
3,44,standard_kd,fgsm,0.1,0.938
3,44,standard_kd,fgsm,0.2,0.9202
3,44,standard_kd,fgsm,0.6,0.9193
3,44,standard_kd,pgd,0.0,0.9872
3,44,standard_kd,pgd,0.01,0.9829
3,44,standard_kd,pgd,0.02,0.9773
3,44,standard_kd,pgd,0.05,0.9505
3,44,standard_kd,pgd,0.1,0.9113
3,44,standard_kd,pgd,0.2,0.8873
3,44,standard_kd,pgd,0.6,0.3927
3,44,adv_training,fgsm,0.0,0.9923
3,44,adv_training,fgsm,0.01,0.9914
3,44,adv_training,fgsm,0.02,0.99
3,44,adv_training,fgsm,0.05,0.9854
3,44,adv_training,fgsm,0.1,0.9751
3,44,adv_training,fgsm,0.2,0.902
3,44,adv_training,fgsm,0.6,0.1
3,44,adv_training,pgd,0.0,0.9923
3,44,adv_training,pgd,0.01,0.9915
3,44,adv_training,pgd,0.02,0.99
3,44,adv_training,pgd,0.05,0.9843
3,44,adv_training,pgd,0.1,0.9682
3,44,adv_training,pgd,0.2,0.7379
3,44,adv_training,pgd,0.6,0.0
3,44,adv_kd,fgsm,0.0,0.9889
3,44,adv_kd,fgsm,0.01,0.9859
3,44,adv_kd,fgsm,0.02,0.9838
3,44,adv_kd,fgsm,0.05,0.975
3,44,adv_kd,fgsm,0.1,0.952
3,44,adv_kd,fgsm,0.2,0.9298
3,44,adv_kd,fgsm,0.6,0.9297
3,44,adv_kd,pgd,0.0,0.9889
3,44,adv_kd,pgd,0.01,0.9859
3,44,adv_kd,pgd,0.02,0.9828
3,44,adv_kd,pgd,0.05,0.966
3,44,adv_kd,pgd,0.1,0.9183
3,44,adv_kd,pgd,0.2,0.8249
3,44,adv_kd,pgd,0.6,0.1644
3,44,baseline_diffaug,fgsm,0.0,0.9932
3,44,baseline_diffaug,fgsm,0.01,0.9904
3,44,baseline_diffaug,fgsm,0.02,0.9865
3,44,baseline_diffaug,fgsm,0.05,0.9703
3,44,baseline_diffaug,fgsm,0.1,0.9105
3,44,baseline_diffaug,fgsm,0.2,0.5463
3,44,baseline_diffaug,fgsm,0.6,0.0894
3,44,baseline_diffaug,pgd,0.0,0.9932
3,44,baseline_diffaug,pgd,0.01,0.9903
3,44,baseline_diffaug,pgd,0.02,0.986
3,44,baseline_diffaug,pgd,0.05,0.9644
3,44,baseline_diffaug,pgd,0.1,0.8189
3,44,baseline_diffaug,pgd,0.2,0.0134
3,44,baseline_diffaug,pgd,0.6,0.0
3,44,adv_training_diffaug,fgsm,0.0,0.9936
3,44,adv_training_diffaug,fgsm,0.01,0.993
3,44,adv_training_diffaug,fgsm,0.02,0.9918
3,44,adv_training_diffaug,fgsm,0.05,0.9895
3,44,adv_training_diffaug,fgsm,0.1,0.9831
3,44,adv_training_diffaug,fgsm,0.2,0.9641
3,44,adv_training_diffaug,fgsm,0.6,0.1202
3,44,adv_training_diffaug,pgd,0.0,0.9936
3,44,adv_training_diffaug,pgd,0.01,0.9928
3,44,adv_training_diffaug,pgd,0.02,0.9913
3,44,adv_training_diffaug,pgd,0.05,0.9876
3,44,adv_training_diffaug,pgd,0.1,0.97
3,44,adv_training_diffaug,pgd,0.2,0.5552
3,44,adv_training_diffaug,pgd,0.6,0.0
3,44,adv_kd_diffaug,fgsm,0.0,0.9931
3,44,adv_kd_diffaug,fgsm,0.01,0.992
3,44,adv_kd_diffaug,fgsm,0.02,0.9894
3,44,adv_kd_diffaug,fgsm,0.05,0.9829
3,44,adv_kd_diffaug,fgsm,0.1,0.9638
3,44,adv_kd_diffaug,fgsm,0.2,0.8688
3,44,adv_kd_diffaug,fgsm,0.6,0.0987
3,44,adv_kd_diffaug,pgd,0.0,0.9931
3,44,adv_kd_diffaug,pgd,0.01,0.992
3,44,adv_kd_diffaug,pgd,0.02,0.9893
3,44,adv_kd_diffaug,pgd,0.05,0.9802
3,44,adv_kd_diffaug,pgd,0.1,0.9469
3,44,adv_kd_diffaug,pgd,0.2,0.532
3,44,adv_kd_diffaug,pgd,0.6,0.0
