model,attack,epsilon,mean_accuracy,std_accuracy,num_runs,accuracies
adv_kd,pgd,0.2,0.8537333333333333,0.026879794146037167,3,0.858200;0.878100;0.824900
adv_kd,pgd,0.6,0.18786666666666665,0.0583532632620776,3,0.144900;0.254300;0.164400
adv_kd_diffaug,pgd,0.0,0.9921000000000001,0.0009539392014169512,3,0.991200;0.992000;0.993100
adv_kd_diffaug,pgd,0.01,0.9907,0.0011789826122551523,3,0.989700;0.990400;0.992000
adv_kd_diffaug,pgd,0.02,0.9885666666666667,0.0007505553499464876,3,0.987800;0.988600;0.989300
adv_kd_diffaug,pgd,0.05,0.9798333333333332,0.0010969655114602744,3,0.980700;0.978600;0.980200
adv_kd_diffaug,pgd,0.1,0.9439333333333333,0.0036909799963334147,3,0.945100;0.939800;0.946900
adv_kd_diffaug,pgd,0.2,0.49656666666666666,0.08089600319752102,3,0.553700;0.404000;0.532000
adv_kd_diffaug,pgd,0.6,0.0,0.0,3,0.000000;0.000000;0.000000
adv_training,pgd,0.0,0.9928333333333333,0.0010115993936995844,3,0.992200;0.994000;0.992300
adv_training,pgd,0.01,0.9918333333333335,0.000850490054811549,3,0.991200;0.992800;0.991500
adv_training,pgd,0.02,0.9903666666666666,0.0010016652800877966,3,0.989600;0.991500;0.990000
adv_training,pgd,0.05,0.9854666666666666,0.0010214368964029852,3,0.985900;0.986200;0.984300
adv_training,pgd,0.1,0.9692,0.0013228756555323175,3,0.970700;0.968700;0.968200
adv_training,pgd,0.2,0.6074333333333334,0.11664974639206609,3,0.513200;0.571200;0.737900
adv_training,pgd,0.6,0.0,0.0,3,0.000000;0.000000;0.000000
adv_training_diffaug,pgd,0.0,0.9930666666666667,0.0008386497083606439,3,0.992100;0.993500;0.993600
adv_training_diffaug,pgd,0.01,0.9921000000000001,0.0009643650760993159,3,0.991000;0.992500;0.992800
adv_training_diffaug,pgd,0.02,0.9910333333333332,0.0005507570547286134,3,0.990400;0.991400;0.991300
adv_training_diffaug,pgd,0.05,0.9868,0.0007211102550928262,3,0.986600;0.986200;0.987600
adv_training_diffaug,pgd,0.1,0.9724,0.002080865204668508,3,0.973700;0.973500;0.970000
adv_training_diffaug,pgd,0.2,0.6839666666666666,0.12119052493216342,3,0.795800;0.700900;0.555200
adv_training_diffaug,pgd,0.6,0.0,0.0,3,0.000000;0.000000;0.000000
baseline,pgd,0.0,0.9928333333333333,0.00020816659994659034,3,0.993000;0.992900;0.992600
baseline,pgd,0.01,0.9897999999999999,0.0005567764362829908,3,0.989700;0.990400;0.989300
baseline,pgd,0.02,0.9864333333333333,0.0004932882862316341,3,0.986200;0.987000;0.986100
baseline,pgd,0.05,0.9676666666666667,0.001985782801147543,3,0.966100;0.969900;0.967000
baseline,pgd,0.1,0.8503,0.02625947448065177,3,0.821900;0.873700;0.855300
baseline,pgd,0.2,0.04103333333333334,0.026508552079156145,3,0.015600;0.068500;0.039000
baseline,pgd,0.6,0.0,0.0,3,0.000000;0.000000;0.000000
baseline_diffaug,pgd,0.0,0.9923333333333333,0.0009018499505645904,3,0.991400;0.992400;0.993200
baseline_diffaug,pgd,0.01,0.9893,0.0010000000000000009,3,0.989300;0.988300;0.990300
baseline_diffaug,pgd,0.02,0.9849666666666668,0.0009073771725877506,3,0.984600;0.984300;0.986000
baseline_diffaug,pgd,0.05,0.9635333333333334,0.002136195996001633,3,0.965100;0.961100;0.964400
baseline_diffaug,pgd,0.1,0.8013666666666666,0.04730331207572397,3,0.837400;0.747800;0.818900
baseline_diffaug,pgd,0.2,0.0213,0.025292884374859263,3,0.049600;0.000900;0.013400
baseline_diffaug,pgd,0.6,0.0,0.0,3,0.000000;0.000000;0.000000
standard_kd,pgd,0.0,0.9885,0.0015394804318340652,3,0.988100;0.990200;0.987200
standard_kd,pgd,0.01,0.9852666666666666,0.0024542480178933374,3,0.985100;0.987800;0.982900
standard_kd,pgd,0.02,0.9803666666666667,0.003153305144341981,3,0.980200;0.983600;0.977300
standard_kd,pgd,0.05,0.9585,0.00866256313108308,3,0.957300;0.967700;0.950500
standard_kd,pgd,0.1,0.9263333333333333,0.013548554658462036,3,0.930100;0.937600;0.911300
standard_kd,pgd,0.2,0.9087999999999999,0.018836400930114013,3,0.916700;0.922400;0.887300
standard_kd,pgd,0.6,0.5452333333333333,0.13245340061068017,3,0.611800;0.631200;0.392700
